2026-05-16 11:45:34,755 | INFO     | __main__ | MODE : scheduler automatique
2026-05-16 11:45:36,731 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-16 11:45:36,731 | INFO     | scheduler.scheduler | Scheduler démarré — collecte toutes les 1h
2026-05-16 11:45:36,733 | INFO     | scheduler.scheduler | ════════════════════════════════════════════════════════════
2026-05-16 11:45:36,733 | INFO     | scheduler.scheduler |   LANCEMENT DU JOB DE COLLECTE AUTOMATIQUE
2026-05-16 11:45:36,733 | INFO     | scheduler.scheduler | ════════════════════════════════════════════════════════════
2026-05-16 11:45:36,746 | INFO     | agent.database | [DB] Base de données initialisée.
2026-05-16 11:45:36,746 | INFO     | agent.collector | ============================================================
2026-05-16 11:45:36,747 | INFO     | agent.collector | DÉMARRAGE DU PIPELINE DE COLLECTE
2026-05-16 11:45:36,748 | INFO     | agent.collector | ============================================================
2026-05-16 11:45:36,748 | INFO     | agent.collector | [RSS] Collecte depuis BBC → http://feeds.bbci.co.uk/news/rss.xml
2026-05-16 11:45:37,370 | INFO     | agent.collector | [RSS] 30 articles collectés depuis BBC
2026-05-16 11:45:38,374 | INFO     | agent.collector | [RSS] Collecte depuis Reuters → https://feeds.reuters.com/reuters/topNews
2026-05-16 11:45:38,470 | INFO     | agent.collector | [RSS] 0 articles collectés depuis Reuters
2026-05-16 11:45:39,472 | INFO     | agent.collector | [RSS] Collecte depuis CNN → http://rss.cnn.com/rss/edition.rss
2026-05-16 11:45:40,175 | INFO     | agent.collector | [RSS] 50 articles collectés depuis CNN
2026-05-16 11:45:41,176 | INFO     | agent.collector | [RSS] Collecte depuis Al Jazeera → https://www.aljazeera.com/xml/rss/all.xml
2026-05-16 11:45:41,706 | INFO     | agent.collector | [RSS] 25 articles collectés depuis Al Jazeera
2026-05-16 11:45:42,709 | INFO     | agent.collector | [RSS] Collecte depuis DW → https://rss.dw.com/rdf/rss-en-all
2026-05-16 11:45:43,964 | INFO     | agent.collector | [RSS] 137 articles collectés depuis DW
2026-05-16 11:45:45,454 | INFO     | utils.deduplicator | [DEDUP] 0 doublon(s) supprimé(s) sur 242 articles
2026-05-16 11:45:48,297 | INFO     | agent.collector | PIPELINE TERMINÉ — {'collected': 242, 'duplicates': 0, 'invalid_source': 0, 'stored': 242}
2026-05-16 11:45:48,297 | INFO     | scheduler.scheduler | Collecte terminée : {'collected': 242, 'duplicates': 0, 'invalid_source': 0, 'stored': 242}
2026-05-16 11:45:48,300 | INFO     | agent.database | [DB] Base de données initialisée.
2026-05-16 11:45:48,300 | INFO     | agent.ai_connector | [AI] 100 articles en attente d'analyse
2026-05-16 11:45:52,408 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:45:56,517 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:46:00,598 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:46:04,688 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:46:08,765 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:46:12,850 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:46:16,954 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:46:21,025 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:46:25,112 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:46:29,205 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:46:33,286 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:46:37,364 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:46:41,436 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:46:45,535 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:46:49,623 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
